"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"CDK7",6.62367251412612,6.88176005154734,7.84975350740798,6.58196169458762,7.38110467375205,7.44302220449069,8.6437739039324,7.34304995066051,6.99767811178122,7.09519291475251,8.07104815718734,6.98119934586404,7.39640228164648,7.49281245257057,8.00761675956816,7.27017216531814,7.79658120217832,7.87590235925217,8.83177698207218,7.62588341937671
"GDF11",5.91032827938444,6.05556027134595,4.93050803431978,6.04969615720788,6.03751817732701,6.02142528741537,5.24573972323983,5.92548308581596,6.82193603209052,6.61654446784592,5.25704679203158,6.82268018506499,5.18066290405987,5.90546607999276,4.95447140018245,5.5579813772867,7.37625551778686,7.21141659180949,6.18907504958579,6.90034458017497
"CALCOCO2",6.18595540938342,6.33469835977766,7.47525036625552,6.42009273867496,5.95382049828521,5.96558904611314,7.2148789677338,6.13873110147889,6.97976010918018,7.05845859804385,7.82086337985908,7.07645625924327,6.88085898388878,6.82034905017604,7.63571669371602,7.04496652792039,6.57587516045045,6.77803436091621,7.64595359533048,6.81339846640827
"SPRY1",7.13478532739521,7.01260234245993,4.25388968947349,7.16505986579432,5.43172696998428,5.78587331396196,4.46596994372886,5.31545191888397,4.94210133113832,5.22608945639577,4.31724811156769,5.09152577074111,6.24379926969666,6.40424299378139,4.58549377785209,6.36465451522458,5.45427345156889,5.67369024699237,4.45743319680784,5.52828102338184
"STAM2",7.27683205431082,7.2272561489376,8.28953474157532,7.18703864241313,6.45997560063047,6.54662607303075,8.14463203974718,6.38215347757376,7.9315170172915,8.13960822783401,8.91215556525553,7.92782424339678,7.00535959356754,7.25099758097592,8.69133997287061,7.16366354161682,7.1457692408838,7.37756927331754,8.52600175363136,7.43497364602916
"CDK2AP2",5.73268184910576,5.95814321383408,6.96278440370878,5.54318858224401,6.49942536601592,6.66361090229576,8.31076887711663,6.54546639598687,5.90587333449469,5.87228799120926,7.78784640266116,5.93878966795246,6.33565161693485,6.38698648851117,7.39835276894761,6.41529484190686,5.99527613387544,5.76222499757,7.61321672063645,6.01224360375295
"LINC00412",4.85371239951083,4.27598195625681,5.65474752637637,4.56000646490349,3.95148706271043,4.33197895628802,6.03870143628247,4.410303570951,3.39103626655052,4.07058523915346,4.67074364168127,3.51435507539152,3.99570318942005,3.71496871832016,3.90932191953115,3.17984591566188,3.84445708147637,4.11370307115365,5.62917968432609,4.19779767940219
"NET1",8.22595330799301,8.33656577450973,6.33511921187653,8.40731644015331,8.7234897157682,8.7406069804651,6.0255063080516,8.8728494999686,7.67835417381021,7.71762518110145,5.52732278598945,7.65852157515504,8.50556784210702,8.50099378389705,5.95842467967434,8.50715295717546,8.577047835213,8.59471362026316,7.07273797868081,8.57604012679939
"BET1",3.05807683108143,2.8467739447682,5.23817244956939,3.2056836666473,3.75104700808518,3.47258615304795,4.46163931668333,3.54706741469027,3.9842504169237,3.99719983882616,5.61322090190544,4.0155332796167,3.60521386268039,3.61871624360409,4.09373773593846,3.20762394470444,3.15000885813924,3.64648492856558,4.54582351490005,3.42490821419348
"BCAS2",7.04429340369861,7.21008122102372,8.30510292200751,6.87976518917278,6.86251049465378,7.12917421575883,8.93696312163397,6.95285310894026,8.49010649617005,8.52623634510097,9.84573089933883,8.41410274151981,8.22486540826713,8.20905442360169,8.79544855424464,8.10017030587356,8.12037489701354,7.9806581992662,9.94550351135972,8.06330022019994
"LANCL1",6.12346814198716,6.22547755618393,5.10101654405506,6.22975158247545,5.86911781928193,5.9298326898395,5.26551697129671,5.89786866472786,6.64210056536422,6.9310899321226,4.10727913484067,6.85724435230857,6.44645847569824,6.63038095709164,4.77074488794703,6.60312693393038,7.11431920878511,7.06652823371286,5.84064203353706,7.07339274519011
"SMYD5",5.46986894919923,5.91049637429907,6.56275146563702,5.76240200381661,5.29783273738992,5.77005144824259,7.40682648941963,5.47452247565812,6.28916102132634,6.61473353764285,7.72246935334875,6.26783760851277,5.67401710729594,5.9285126555138,7.21692216505932,5.81581122582651,6.0496478712971,5.91223189450341,7.17832829315413,6.09060459435206
"CDKN3",7.99812207023619,8.13121269858093,5.07203933745128,7.96517677950057,7.8865113382871,7.91671119984854,6.43792135462791,8.17728183509244,8.7461493928276,8.75499306393817,6.56344024920997,8.77519082844218,8.70602010375644,8.83650081229126,5.09663994976512,8.75835011556015,8.00103855977031,7.92458347545493,7.84874404835791,8.03379294605315
"PCGF3",6.65207565707906,6.86749756318412,5.43676622728113,6.99933243342572,7.06293442409501,7.2705498808302,5.87900105146297,7.2329405602816,7.37507492074963,7.44467158846212,6.71265475467126,7.52748639474369,7.29872302306373,7.36780355289897,6.63132474162246,7.37003637199088,7.36922733061299,7.25131929501073,5.85940299781646,7.38004409473622
"TMEM92-AS1",3.87456624661114,3.75623643469007,6.61575368141545,3.73702784703797,3.44705947399995,3.43192159475577,4.54995612080281,3.47688271810614,3.75091620084755,3.11335080291774,7.11043462298403,3.45390545156339,4.68028126454256,4.27493781665574,6.5556775634091,4.37869263754568,3.92001028364927,3.9015383131235,6.68892938259721,4.04831758525707
